2798,3
3703,4
295,0
123,0
3672,1
3935,4
1275,1
394,0
1450,1
871,1
1634,2
3875,4
3084,3
1576,1
1077,1
3922,4
437,0
3640,4
2984,3
467,0
4,0
1753,2
2157,2
3284,4
3382,4
363,0
1860,2
3806,4
3463,4
2925,3
2451,3
3140,3
1808,2
2644,0
2644,3
1430,1
275,0
2966,3
472,0
2042,2
3079,3
1793,2
1191,1
1356,1
2739,3
1800,2
2168,2
3416,4
493,0
2287,2
2138,2
2398,2
677,0
361,0
2231,2
2867,3
1374,4
2384,2
158,0
2566,3
135,0
946,1
1150,1
1150,4
1300,1
569,0
233,0
1418,1
631,0
1183,0
1183,1
1288,4
1892,2
2694,3
1078,1
3165,3
3712,4
2361,2
2975,3
3760,4
2169,2
3037,3
222,0
3674,4
9,0
3626,4
1405,1
270,0
1876,2
325,0
1064,1
3286,4
3,0
3790,4
2345,2
2244,2
2428,3
2931,3
655,0
670,0
3147,3
2884,3
1301,1
3359,1
3359,4
3884,1
3884,4
274,0
2680,3
1483,1
2218,2
1320,1
2886,3
856,1
3517,4
797,0
2723,3
2595,3
419,0
893,1
1767,2
3083,3
1838,2
774,0
2559,1
1766,2
2613,3
2875,3
3501,1
3501,4
556,0
309,0
3127,3
3220,4
3013,3
1812,2
734,0
2028,0
1217,1
3794,4
682,0
682,1
3838,4
2343,2
2813,3
3996,1
3996,4
2134,2
3521,4
448,0
50,0
50,1
3253,4
2088,2
1715,2
3886,4
594,0
2785,3
3240,4
1633,2
997,1
732,0
3692,4
2364,2
1836,2
790,0
1596,1
3255,4
2607,3
1266,1
1168,1
2370,2
2099,2
2432,3
244,0
2937,3
3295,4
3543,4
3723,4
3387,4
2275,2
2899,3
1928,2
2573,3
3333,4
2130,2
1438,1
2945,3
3179,1
3179,3
155,0
1996,2
157,0
2576,3
687,0
2044,2
3408,4
1694,2
1429,1
1759,2
1210,3
2026,2
2072,2
531,0
3998,4
532,0
266,0
3409,4
1125,1
1105,1
2484,3
1456,0
1131,1
3169,3
2329,2
3959,4
2069,2
3503,4
1536,1
1001,1
1345,1
263,0
3513,4
1138,1
3613,4
279,0
1269,1
1713,2
1353,1
2553,0
2553,2
2553,3
1769,2
3262,4
1978,2
307,0
3309,1
3309,4
2050,2
671,0
2377,2
1294,1
388,0
2004,2
2736,3
1107,1
1590,1
3835,1
3835,3
799,0
2852,3
2261,2
3557,4
2891,3
2580,3
2616,3
80,0
607,0
3260,4
3068,3
3812,1
3812,4
2841,3
2309,2
1451,1
3578,4
3243,4
113,0
958,1
3763,4
1497,1
1970,2
2866,3
2621,3
1296,1
609,0
1709,2
143,0
344,0
2439,3
1185,1
1185,3
2751,3
2219,2
3197,3
3441,4
3029,3
1583,1
439,0
1622,2
2353,2
1243,1
494,0
2315,2
1184,1
1184,3
1695,2
1335,1
3433,4
2274,2
182,0
3437,4
3363,4
2851,3
3383,4
1170,1
3591,4
1971,2
60,0
1228,1
1742,2
150,0
2463,3
668,0
1016,1
500,0
3754,1
3754,4
3454,4
3898,4
1372,1
929,1
1964,2
1720,0
1720,2
107,0
1308,1
226,0
1000,1
3044,3
3449,4
2366,2
286,0
3515,4
1067,1
2289,2
3669,4
1704,2
2047,2
2477,3
3793,4
1621,2
3471,4
3556,4
2492,3
2526,3
1899,2
1007,1
1237,1
1627,2
2528,3
2564,3
241,0
2460,3
979,1
416,0
416,2
230,0
3680,4
2382,2
1879,2
484,0
1733,2
2032,2
2413,3
1459,1
360,0
11,0
2371,2
3164,3
873,1
977,1
3600,4
1815,2
3415,4
2823,3
621,0
3878,4
686,0
2547,3
3536,4
2185,2
577,0
290,0
2734,3
1390,1
3267,4
3908,4
2223,2
3844,4
2440,3
1104,1
1393,1
741,0
141,0
3620,4
1250,1
2304,2
3632,4
2404,3
1038,1
3813,4
300,0
3090,3
1855,2
2894,3
3759,4
3460,4
2720,3
1908,2
1792,2
3348,4
358,0
672,0
2360,2
473,0
1121,1
1121,4
319,0
1880,2
312,0
1614,2
26,0
338,0
2174,2
3916,4
3889,4
1202,1
595,0
2019,2
725,0
959,1
808,1
261,0
2728,3
3136,3
3747,4
2677,3
2898,3
3056,3
3933,4
3574,4
2221,2
199,0
1668,2
3551,4
1635,2
753,0
3648,4
581,0
1441,1
0,0
2974,3
3458,4
116,0
1432,1
3856,4
795,0
2633,3
2940,3
1572,1
162,0
1955,2
3992,1
3992,4
2855,3
2197,2
842,0
2455,3
3134,3
3379,4
1571,1
3868,4
84,0
1623,2
1574,1
3327,4
2888,3
2765,3
